GEO_ID,RESP_DATE,DRRINT,DRRALL,CRRINT,CRRALL
1400000US36061017900,3/30/20,1.8,1.8,32,32.3
1400000US36061018000,3/30/20,0.9,0.9,22.2,22.7
1400000US36061018100,3/30/20,1.9,1.9,32.1,32.6
1400000US36061018200,3/30/20,0.5,1,15,23.9
1400000US36061018300,3/30/20,1.9,1.9,29.2,29.5
1400000US36061018400,3/30/20,0.8,1.5,16.4,27.8
1400000US36061018500,3/30/20,2.2,2.2,31.7,32.1
1400000US36061018600,3/30/20,1.8,1.9,26.2,27.2
1400000US36061018700,3/30/20,1.8,1.8,34.9,35.3
1400000US36061018800,3/30/20,0.6,0.6,18,18.3
1400000US36061018900,3/30/20,1.4,1.4,27.5,28.2
1400000US36061019000,3/30/20,1.3,1.3,28.2,29.1
1400000US36061019100,3/30/20,1.9,1.9,33.8,34.1
1400000US36061019200,3/30/20,0.6,1.4,15.4,27.1
1400000US36061019300,3/30/20,1.3,1.3,29.5,30.2
1400000US36061019400,3/30/20,0.5,1.5,14.1,24.9
1400000US36061019500,3/30/20,1.9,1.9,34.2,34.5
1400000US36061019600,3/30/20,0.4,2.5,12.3,28.6
1400000US36061019701,3/30/20,0.4,0.4,17.4,17.6
1400000US36061019702,3/30/20,1.2,1.2,29.5,30
1400000US36061019800,3/30/20,1,1,25.3,25.9
1400000US36061019900,3/30/20,1.4,1.4,27.1,27.3
1400000US36061020000,3/30/20,1.2,1.2,18.3,18.6
1400000US36061020101,3/30/20,1.9,1.9,29.6,29.6
1400000US36061020102,3/30/20,1.3,1.3,29.3,29.6
1400000US36061020300,3/30/20,1.2,1.2,19.5,19.7
1400000US36061020500,3/30/20,1.3,1.3,36.3,36.5
1400000US36061020600,3/30/20,0.8,0.8,20.7,21.4
1400000US36061020701,3/30/20,1.7,1.7,32.8,32.9
1400000US36061020800,3/30/20,1.2,1.2,20.4,20.8
1400000US36061020901,3/30/20,0.7,1.8,15.3,28
1400000US36061021000,3/30/20,0.9,2.1,19.2,34.4
1400000US36061021100,3/30/20,1.8,1.8,33,33.5
1400000US36061021200,3/30/20,1.6,1.6,29.1,29.9
1400000US36061021303,3/30/20,0.7,0.7,26,26.4
1400000US36061021400,3/30/20,1.1,1.6,18.5,29.9
1400000US36061021500,3/30/20,1.5,1.5,29.1,29.5
1400000US36061021600,3/30/20,1.4,1.4,26.3,26.7
1400000US36061021800,3/30/20,1.4,1.4,26.5,27
1400000US36061021900,3/30/20,0.4,1,14.6,24.2
1400000US36061022000,3/30/20,1.4,1.4,24.6,24.6
1400000US36061022102,3/30/20,1.3,1.4,27.1,27.7
1400000US36061022200,3/30/20,1.1,1.1,22.4,22.8
1400000US36061022301,3/30/20,1.1,1.1,25.4,25.9
1400000US36061022302,3/30/20,0.8,0.8,24.3,24.8
1400000US36061022400,3/30/20,1.2,1.2,23.2,23.9
1400000US36061022500,3/30/20,1.4,1.4,22.8,23.1
1400000US36061022600,3/30/20,0.5,0.9,13.8,20.1
1400000US36061022700,3/30/20,1.3,1.3,24.5,25.1
1400000US36061022800,3/30/20,1,1,21.3,21.5
1400000US36061022900,3/30/20,1.4,1.5,25.4,25.8
1400000US36061023000,3/30/20,1.1,1.1,22.3,22.9
1400000US36061023100,3/30/20,1.6,1.6,27.6,28
1400000US36061023200,3/30/20,1,1,23.3,24
1400000US36061023300,3/30/20,1,1,24.6,25.1
1400000US36061023400,3/30/20,1.3,1.3,26.1,26.7
1400000US36061023501,3/30/20,1,1,26.6,27.1
1400000US36061023502,3/30/20,1,1,20.5,21
1400000US36061023600,3/30/20,0.6,1.4,11.4,21.6
1400000US36061023700,3/30/20,0.7,0.8,25.5,26
1400000US36061023802,3/30/20,1.3,1.3,26.2,26.4
1400000US36061023803,3/30/20,1.7,1.7,36.7,37.4
1400000US36061023804,3/30/20,1.9,1.9,25.9,26
1400000US36061023900,3/30/20,0.8,0.8,26,26.7
1400000US36061024100,3/30/20,1.5,1.5,30.2,31.1
1400000US36061024200,3/30/20,1.5,1.5,23.7,24.5
1400000US36061024301,3/30/20,1.4,1.4,27,27.8
1400000US36061024302,3/30/20,0.5,1.4,14,28.7
1400000US36061024500,3/30/20,1.1,1.1,27.9,28.7
1400000US36061024700,3/30/20,1.5,1.6,28.1,29
1400000US36061024900,3/30/20,2.1,2.1,24.4,24.6
1400000US36061025100,3/30/20,1.8,1.8,26.3,27
1400000US36061025300,3/30/20,1.4,1.4,30.6,31.4
1400000US36061025500,3/30/20,1,1,28.8,29.1
1400000US36061025700,3/30/20,1.7,1.7,30.3,30.7
1400000US36061025900,3/30/20,1.5,1.5,30.5,30.7
1400000US36061026100,3/30/20,0.5,1.4,15.1,24.8
1400000US36061026300,3/30/20,1.4,1.4,27.1,27.7
1400000US36061026500,3/30/20,1.4,1.4,32.3,32.9
1400000US36061026700,3/30/20,1,1,30,30.3
1400000US36061026900,3/30/20,0.8,0.8,20.9,21.6
1400000US36061027100,3/30/20,1.3,1.3,31.5,32
1400000US36061027300,3/30/20,1.4,1.4,36.8,37.2
1400000US36061027500,3/30/20,1.6,1.6,42.2,42.4
1400000US36061027700,3/30/20,1,1,25.2,25.6
1400000US36061027900,3/30/20,1.2,1.2,28.8,29.4
1400000US36061028100,3/30/20,1.9,1.9,36.2,36.4
1400000US36061028300,3/30/20,1.4,1.4,29.3,29.8
1400000US36061028500,3/30/20,1,1,24.8,25.5
1400000US36061028700,3/30/20,0.9,0.9,31.4,31.9
1400000US36061029100,3/30/20,1.2,1.2,24.1,24.8
1400000US36061029300,3/30/20,0.7,0.7,23.3,24
1400000US36061029500,3/30/20,1.5,1.5,31,31.2
1400000US36061029900,3/30/20,0.3,1.5,14.9,26.7
1400000US36061030300,3/30/20,1.1,1.2,29.7,30
1400000US36061030700,3/30/20,2.1,2.1,40.9,41.3
1400000US36061030901,3/30/20,0.3,1,13,22.9
1400000US36061030902,3/30/20,1,2,15.2,25.8
1400000US36061031703,3/30/20,1,1,21.1,21.3
1400000US36061031704,3/30/20,1.8,1.8,30.4,30.5
